ENVIRONMENT,PERSONGROUP,DESCRIPTION,ISCREWWORKGROUP,OOG_DEPARTMENT,OOG_USEINMOC,OOG_ISTOPSIDE
N06,OOG_QA,Quality Assurance,0,0,0,-
N06,OOG_SUT,Sustainability,0,0,0,-
N06,OOG_TI,Information Technology,0,0,0,-
N06,R&R,Repair & Return,0,1,0,-
N06,ASSETENG,Asset/Planning Engineer,0,1,0,-
N06,RSTC,Aprovadores de Risk Assessment,0,0,0,-
N06,OOG_CM,CM Approval Group,1,0,0,-
N06,OOG_CMML,CM Group Mail,0,0,0,-
N06,OOG_RIGS,RIG Superintendentes Aprovadores,0,0,0,-
N06,MKTON,Marketing,0,0,1,-
N06,OOG_SQP,SQP Person Group to send WOREF communications revisions,0,0,0,-
N06,MOVCAR,Movimentação de cargas - Base UNP Only,0,1,0,-
N06,INTEGRIT,Integrity,0,1,0,-
N06,DDNON,Desenvolvimento de Negócios / Business Development,0,0,1,-
N06,OOG_MEET,Group for Planning and Simultaneity Meeting,0,0,0,-
N06,MOB_BAUN,Person group for Mobile - BASE-UNP,0,0,0,-
N06,MOB_HTQ,Person group for Mobile - HTQ,0,0,0,-
N06,MOB_ODN4,Person group for Mobile - ODN4,0,0,0,-
N06,MOB_ODN1,Person group for Mobile - ODN1,0,0,0,-
N06,MOB_OPBA,Person group for Mobile - OP-BASE,0,0,0,-
N06,MOB_ODN2,Person group for Mobile - ODN2,0,0,0,-
N06,MOB_N08,Person group for Mobile - N08,0,0,0,-
